CH1,CH2,CH3,CH4
7.19E-03,2.90E-03,-1.13E-01,-3.82E-03
7.64E-03,4.38E-03,-1.12E-01,-3.02E-03
6.28E-03,4.09E-03,-1.10E-01,-1.89E-03
5.02E-03,2.36E-03,-1.09E-01,-2.08E-03
5.54E-03,1.66E-03,-1.11E-01,-3.17E-03
7.19E-03,2.89E-03,-1.13E-01,-3.83E-03
7.64E-03,4.38E-03,-1.12E-01,-3.03E-03
6.28E-03,4.09E-03,-1.10E-01,-1.90E-03
5.02E-03,2.36E-03,-1.09E-01,-2.08E-03
5.53E-03,1.66E-03,-1.11E-01,-3.16E-03
7.18E-03,2.88E-03,-1.13E-01,-3.82E-03
7.64E-03,4.37E-03,-1.12E-01,-3.03E-03
6.28E-03,4.08E-03,-1.10E-01,-1.90E-03
5.03E-03,2.36E-03,-1.09E-01,-2.08E-03
5.53E-03,1.66E-03,-1.11E-01,-3.16E-03
7.18E-03,2.88E-03,-1.13E-01,-3.82E-03
7.65E-03,4.37E-03,-1.12E-01,-3.03E-03
6.30E-03,4.09E-03,-1.10E-01,-1.90E-03
5.03E-03,2.36E-03,-1.09E-01,-2.08E-03
5.53E-03,1.65E-03,-1.11E-01,-3.15E-03
7.18E-03,2.86E-03,-1.13E-01,-3.82E-03
7.65E-03,4.36E-03,-1.12E-01,-3.03E-03
6.31E-03,4.09E-03,-1.10E-01,-1.91E-03
5.04E-03,2.37E-03,-1.09E-01,-2.07E-03
5.53E-03,1.66E-03,-1.11E-01,-3.14E-03
7.17E-03,2.86E-03,-1.13E-01,-3.82E-03
7.65E-03,4.35E-03,-1.12E-01,-3.04E-03
6.32E-03,4.09E-03,-1.10E-01,-1.91E-03
5.03E-03,2.37E-03,-1.09E-01,-2.07E-03
5.51E-03,1.65E-03,-1.11E-01,-3.14E-03
7.16E-03,2.85E-03,-1.13E-01,-3.82E-03
7.64E-03,4.35E-03,-1.12E-01,-3.04E-03
6.31E-03,4.10E-03,-1.10E-01,-1.91E-03
5.03E-03,2.37E-03,-1.09E-01,-2.07E-03
5.51E-03,1.65E-03,-1.11E-01,-3.14E-03
7.15E-03,2.83E-03,-1.13E-01,-3.82E-03
7.65E-03,4.34E-03,-1.12E-01,-3.05E-03
6.32E-03,4.10E-03,-1.10E-01,-1.92E-03
5.03E-03,2.38E-03,-1.09E-01,-2.07E-03
5.50E-03,1.64E-03,-1.11E-01,-3.13E-03
7.14E-03,2.82E-03,-1.13E-01,-3.82E-03
7.65E-03,4.33E-03,-1.12E-01,-3.06E-03
6.33E-03,4.10E-03,-1.10E-01,-1.92E-03
5.04E-03,2.38E-03,-1.09E-01,-2.06E-03
5.50E-03,1.64E-03,-1.11E-01,-3.13E-03
7.14E-03,2.81E-03,-1.13E-01,-3.83E-03
7.65E-03,4.32E-03,-1.12E-01,-3.07E-03
6.33E-03,4.11E-03,-1.10E-01,-1.93E-03
5.04E-03,2.39E-03,-1.09E-01,-2.06E-03
5.49E-03,1.64E-03,-1.11E-01,-3.13E-03
7.13E-03,2.80E-03,-1.13E-01,-3.83E-03
7.65E-03,4.32E-03,-1.12E-01,-3.07E-03
6.34E-03,4.11E-03,-1.10E-01,-1.93E-03
5.03E-03,2.39E-03,-1.09E-01,-2.06E-03
5.48E-03,1.63E-03,-1.11E-01,-3.12E-03
7.12E-03,2.78E-03,-1.13E-01,-3.83E-03
7.65E-03,4.31E-03,-1.12E-01,-3.07E-03
6.35E-03,4.11E-03,-1.10E-01,-1.93E-03
5.04E-03,2.40E-03,-1.09E-01,-2.05E-03
5.48E-03,1.63E-03,-1.11E-01,-3.11E-03
7.13E-03,2.78E-03,-1.13E-01,-3.83E-03
7.67E-03,4.31E-03,-1.13E-01,-3.08E-03
6.37E-03,4.13E-03,-1.10E-01,-1.93E-03
5.05E-03,2.41E-03,-1.09E-01,-2.05E-03
5.48E-03,1.63E-03,-1.11E-01,-3.11E-03
7.12E-03,2.77E-03,-1.13E-01,-3.83E-03
7.67E-03,4.31E-03,-1.13E-01,-3.08E-03
6.38E-03,4.13E-03,-1.10E-01,-1.94E-03
5.06E-03,2.42E-03,-1.09E-01,-2.04E-03
5.47E-03,1.63E-03,-1.11E-01,-3.10E-03
7.11E-03,2.75E-03,-1.13E-01,-3.82E-03
7.67E-03,4.30E-03,-1.13E-01,-3.09E-03
6.39E-03,4.15E-03,-1.10E-01,-1.94E-03
5.06E-03,2.44E-03,-1.09E-01,-2.03E-03
5.47E-03,1.64E-03,-1.11E-01,-3.09E-03
7.11E-03,2.75E-03,-1.13E-01,-3.83E-03
7.67E-03,4.30E-03,-1.13E-01,-3.09E-03
6.40E-03,4.15E-03,-1.10E-01,-1.94E-03
5.06E-03,2.44E-03,-1.09E-01,-2.03E-03
5.46E-03,1.63E-03,-1.11E-01,-3.09E-03
7.10E-03,2.74E-03,-1.13E-01,-3.83E-03
7.68E-03,4.29E-03,-1.13E-01,-3.10E-03
6.40E-03,4.15E-03,-1.10E-01,-1.95E-03
5.05E-03,2.44E-03,-1.09E-01,-2.02E-03
5.44E-03,1.61E-03,-1.11E-01,-3.09E-03
7.13E-03,2.70E-03,-1.13E-01,-3.89E-03
7.79E-03,4.34E-03,-1.13E-01,-3.17E-03
6.49E-03,4.29E-03,-1.10E-01,-1.92E-03
5.00E-03,2.50E-03,-1.09E-01,-1.94E-03
5.33E-03,1.55E-03,-1.11E-01,-3.04E-03
7.06E-03,2.62E-03,-1.13E-01,-3.89E-03
7.76E-03,4.29E-03,-1.13E-01,-3.18E-03
6.49E-03,4.26E-03,-1.10E-01,-1.94E-03
5.01E-03,2.49E-03,-1.09E-01,-1.94E-03
5.34E-03,1.54E-03,-1.11E-01,-3.03E-03
7.06E-03,2.60E-03,-1.13E-01,-3.88E-03
7.76E-03,4.28E-03,-1.13E-01,-3.18E-03
6.49E-03,4.26E-03,-1.10E-01,-1.94E-03
5.01E-03,2.49E-03,-1.09E-01,-1.94E-03
5.32E-03,1.54E-03,-1.11E-01,-3.02E-03
7.04E-03,2.58E-03,-1.13E-01,-3.87E-03
7.75E-03,4.26E-03,-1.13E-01,-3.19E-03
6.49E-03,4.24E-03,-1.10E-01,-1.95E-03
5.02E-03,2.48E-03,-1.09E-01,-1.94E-03
5.32E-03,1.53E-03,-1.11E-01,-3.01E-03
7.02E-03,2.57E-03,-1.13E-01,-3.86E-03
7.75E-03,4.24E-03,-1.13E-01,-3.19E-03
6.52E-03,4.23E-03,-1.10E-01,-1.98E-03
5.06E-03,2.50E-03,-1.09E-01,-1.97E-03
5.35E-03,1.57E-03,-1.11E-01,-3.01E-03
7.02E-03,2.60E-03,-1.13E-01,-3.83E-03
7.74E-03,4.23E-03,-1.13E-01,-3.18E-03
6.53E-03,4.23E-03,-1.10E-01,-2.00E-03
5.08E-03,2.50E-03,-1.09E-01,-1.98E-03
5.35E-03,1.58E-03,-1.11E-01,-2.99E-03
6.98E-03,2.60E-03,-1.13E-01,-3.79E-03
7.68E-03,4.21E-03,-1.13E-01,-3.16E-03
6.51E-03,4.17E-03,-1.10E-01,-2.05E-03
5.16E-03,2.50E-03,-1.09E-01,-2.07E-03
5.46E-03,1.66E-03,-1.11E-01,-3.03E-03
7.02E-03,2.69E-03,-1.13E-01,-3.75E-03
7.66E-03,4.24E-03,-1.13E-01,-3.12E-03
6.50E-03,4.16E-03,-1.10E-01,-2.06E-03
5.14E-03,2.50E-03,-1.09E-01,-2.07E-03
5.42E-03,1.65E-03,-1.11E-01,-3.01E-03
6.98E-03,2.66E-03,-1.13E-01,-3.74E-03
7.63E-03,4.21E-03,-1.13E-01,-3.13E-03
6.49E-03,4.15E-03,-1.10E-01,-2.07E-03
5.15E-03,2.51E-03,-1.09E-01,-2.07E-03
5.42E-03,1.66E-03,-1.11E-01,-3.00E-03
6.96E-03,2.64E-03,-1.13E-01,-3.72E-03
7.63E-03,4.19E-03,-1.13E-01,-3.14E-03
6.51E-03,4.15E-03,-1.10E-01,-2.09E-03
5.17E-03,2.52E-03,-1.09E-01,-2.07E-03
5.42E-03,1.66E-03,-1.11E-01,-2.99E-03
6.95E-03,2.63E-03,-1.13E-01,-3.72E-03
7.63E-03,4.18E-03,-1.13E-01,-3.14E-03
6.52E-03,4.16E-03,-1.10E-01,-2.09E-03
5.18E-03,2.53E-03,-1.09E-01,-2.07E-03
5.42E-03,1.66E-03,-1.11E-01,-2.97E-03
6.95E-03,2.63E-03,-1.13E-01,-3.71E-03
7.64E-03,4.18E-03,-1.13E-01,-3.14E-03
6.55E-03,4.17E-03,-1.10E-01,-2.09E-03
5.21E-03,2.55E-03,-1.09E-01,-2.06E-03
5.44E-03,1.69E-03,-1.11E-01,-2.97E-03
6.96E-03,2.65E-03,-1.13E-01,-3.70E-03
7.65E-03,4.19E-03,-1.13E-01,-3.14E-03
6.57E-03,4.18E-03,-1.10E-01,-2.10E-03
5.24E-03,2.58E-03,-1.09E-01,-2.07E-03
5.46E-03,1.71E-03,-1.11E-01,-2.96E-03
6.97E-03,2.66E-03,-1.13E-01,-3.69E-03
7.66E-03,4.20E-03,-1.13E-01,-3.14E-03
6.59E-03,4.19E-03,-1.10E-01,-2.12E-03
5.26E-03,2.59E-03,-1.09E-01,-2.08E-03
5.48E-03,1.73E-03,-1.11E-01,-2.96E-03
6.97E-03,2.68E-03,-1.13E-01,-3.67E-03
7.65E-03,4.21E-03,-1.13E-01,-3.13E-03
6.60E-03,4.20E-03,-1.10E-01,-2.12E-03
5.29E-03,2.61E-03,-1.09E-01,-2.08E-03
5.51E-03,1.77E-03,-1.11E-01,-2.96E-03
6.98E-03,2.70E-03,-1.13E-01,-3.66E-03
7.66E-03,4.22E-03,-1.13E-01,-3.12E-03
6.62E-03,4.20E-03,-1.10E-01,-2.13E-03
