CH1,CH2,CH3,CH4,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.77E-03,-6.08E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.35E-03,-8.61E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.46E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.03E-03,5.36E-03,-8.63E-03,,,,,,,,,,,,,
-9.30E-03,-6.23E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.38E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.15E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.75E-03,,,,,,,,,,,,,
-8.84E-03,-6.02E-03,5.36E-03,-8.63E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.37E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.77E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.03E-03,5.35E-03,-8.63E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.35E-03,-8.62E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.36E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.35E-03,-8.62E-03,,,,,,,,,,,,,
-9.29E-03,-6.22E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.03E-03,5.35E-03,-8.62E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.44E-03,-8.73E-03,,,,,,,,,,,,,
-8.84E-03,-6.02E-03,5.35E-03,-8.61E-03,,,,,,,,,,,,,
-9.30E-03,-6.23E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.44E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.44E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.35E-03,-8.62E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.06E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.06E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.73E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.61E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.07E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.37E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.60E-03,,,,,,,,,,,,,
-9.29E-03,-6.22E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.60E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.60E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.61E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.60E-03,,,,,,,,,,,,,
-9.29E-03,-6.23E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.07E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.02E-03,5.36E-03,-8.61E-03,,,,,,,,,,,,,
-9.28E-03,-6.23E-03,5.08E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.38E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.36E-03,-8.60E-03,,,,,,,,,,,,,
-9.28E-03,-6.23E-03,5.09E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.60E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.06E-02,,,,,,,,,,,,,
-9.42E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.60E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.75E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.74E-03,,,,,,,,,,,,,
-8.83E-03,-6.03E-03,5.37E-03,-8.60E-03,,,,,,,,,,,,,
-9.28E-03,-6.23E-03,5.09E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.13E-03,-6.29E-03,3.75E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.59E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.05E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.28E-03,3.75E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.07E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.01E-03,5.37E-03,-8.59E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.06E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.76E-03,-6.08E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.59E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.05E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.08E-03,4.44E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.01E-03,5.36E-03,-8.58E-03,,,,,,,,,,,,,
-9.28E-03,-6.22E-03,5.09E-03,-1.05E-02,,,,,,,,,,,,,
-9.43E-03,-6.37E-03,4.08E-03,-1.16E-02,,,,,,,,,,,,,
-9.14E-03,-6.29E-03,3.74E-03,-1.06E-02,,,,,,,,,,,,,
-8.75E-03,-6.08E-03,4.45E-03,-8.73E-03,,,,,,,,,,,,,
-8.82E-03,-6.02E-03,5.37E-03,-8.58E-03,,,,,,,,,,,,,
